oxygen,pressure,temperature,vibration,solar_intensity
20.99,101.32,21.9,0.0195,135.08
20.99,101.32,22.05,0.0177,136.52
21.02,101.33,21.97,0.0202,137.23
20.99,101.33,21.96,0.0227,138.42
21.0,101.27,22.09,0.0198,139.5
20.99,101.32,22.0,0.0172,140.82
21.02,101.26,21.98,0.0206,142.84
21.02,101.27,21.99,0.0177,143.83
21.01,101.31,22.04,0.02,144.58
21.0,101.33,22.06,0.0222,146.37
21.02,101.29,22.01,0.0174,146.63
21.01,101.33,21.91,0.0217,147.64
21.01,101.34,22.06,0.021,149.19
21.02,101.34,21.99,0.0195,150.31
20.99,101.31,21.93,0.0222,151.2
21.01,101.35,22.07,0.0227,152.22
20.99,101.29,22.01,0.0179,152.74
20.98,101.27,21.91,0.0219,154.22
21.01,101.31,21.92,0.0223,154.38
20.99,101.3,22.03,0.0202,155.16
21.02,101.35,21.9,0.022,156.43
21.01,101.32,22.04,0.0219,157.03
20.99,101.26,22.08,0.0198,157.05
21.01,101.31,21.94,0.0199,157.59
20.99,101.3,21.99,0.021,158.13
21.0,101.33,21.98,0.0205,158.59
21.0,101.29,21.99,0.0177,158.6
20.99,101.27,21.91,0.0177,159.35
21.0,101.26,21.98,0.0214,159.53
21.0,101.32,21.95,0.0193,159.62
20.99,101.35,22.07,0.0204,159.55
21.01,101.32,21.97,0.0183,160.2
20.98,101.32,21.91,0.0212,159.6
21.02,101.31,21.96,0.0229,160.35
21.0,101.31,22.02,0.0209,160.0
21.02,101.26,22.08,0.0179,159.32
21.01,101.26,22.05,0.0199,159.51
21.02,101.29,22.08,0.0223,159.44
20.99,101.31,21.93,0.02,158.94
20.98,101.34,21.93,0.0176,158.12
21.0,101.25,21.9,0.0197,157.88
21.02,101.26,22.09,0.0185,156.98
21.02,101.27,21.96,0.0201,156.66
21.01,101.31,22.04,0.0213,155.55
21.01,101.29,21.94,0.0206,155.32
21.0,101.28,22.02,0.0183,154.56
20.98,101.32,22.04,0.0209,153.48
20.98,101.3,22.09,0.017,152.92
20.99,101.29,22.05,0.0186,152.0
20.99,101.32,21.98,0.021,150.9
20.98,101.25,22.08,0.022,150.37
21.01,101.28,21.99,0.0179,148.56
20.99,101.28,22.05,0.0227,148.16
20.99,101.32,22.09,0.0213,146.47
21.0,101.27,21.99,0.0198,145.28
21.01,101.27,22.01,0.0175,144.16
21.01,101.26,21.93,0.0183,143.61
21.0,101.26,22.08,0.0192,142.36
21.01,101.33,22.07,0.0197,140.84
21.02,101.28,21.97,0.018,139.57
20.98,101.29,21.97,0.0171,138.93
21.0,101.27,22.09,0.018,137.28
21.02,101.34,21.93,0.0221,136.07
21.0,101.28,22.1,0.0212,135.23
21.0,101.29,22.04,0.0191,133.78
21.01,101.3,22.0,0.0179,132.46
21.01,101.35,22.09,0.0202,130.85
20.99,101.28,22.03,0.0197,130.17
21.01,101.28,22.03,0.0192,128.49
21.01,101.33,22.07,0.0211,127.12
21.01,101.28,22.03,0.0176,126.02
20.99,101.34,22.04,0.0202,125.34
20.99,101.31,22.06,0.0229,123.54
20.98,101.33,22.02,0.0185,122.99
21.02,101.28,22.01,0.0225,121.56
20.98,101.26,22.0,0.0184,121.12
21.01,101.33,22.08,0.0182,119.88
21.01,101.3,22.09,0.0175,119.02
20.99,101.29,21.96,0.0217,118.02
21.0,101.26,21.96,0.0179,117.41
21.0,101.26,21.96,0.0216,115.63
21.0,101.25,22.0,0.0223,115.51
21.0,101.26,21.99,0.0212,114.44
21.02,101.32,21.93,0.0212,113.36
20.98,101.27,22.05,0.0186,113.14
21.02,101.33,21.96,0.0193,112.21
21.0,101.29,22.04,0.0184,112.33
20.99,101.31,21.91,0.0181,111.65
21.0,101.31,21.96,0.0193,111.46
21.0,101.31,21.98,0.0173,110.8
21.01,101.26,21.9,0.0199,110.25
20.98,101.3,21.98,0.0202,110.7
20.99,101.34,22.09,0.0189,109.75
21.02,101.26,22.02,0.02,110.48
20.98,101.35,21.93,0.0176,110.28
21.02,101.33,22.06,0.0179,110.31
21.0,101.26,22.08,0.0202,110.42
21.0,101.28,21.96,0.0225,110.64
21.0,101.32,21.96,0.0214,110.29
21.0,101.3,21.92,0.0228,111.03
20.99,101.3,22.03,0.0213,111.38
20.99,101.3,22.08,0.022,110.95
21.0,101.33,21.99,0.022,111.63
21.0,101.34,22.08,0.0221,112.17
21.0,101.27,22.03,0.0228,113.14
21.02,101.28,22.0,0.0211,113.3
21.01,101.32,21.92,0.0181,113.74
20.98,101.29,21.96,0.0207,115.3
21.0,101.32,22.02,0.0179,115.49
21.0,101.26,21.91,0.0186,116.95
21.0,101.33,22.07,0.0188,117.56
20.99,101.25,22.0,0.0217,118.46
21.0,101.34,22.07,0.0172,118.89
20.99,101.26,22.06,0.0227,119.86
21.0,101.34,21.96,0.0196,121.67
21.0,101.33,22.04,0.0184,122.6
21.02,101.29,22.0,0.018,123.3
21.0,101.33,22.07,0.0217,124.42
21.0,101.26,22.07,0.0202,125.32
20.99,101.27,21.92,0.0207,127.07
20.98,101.33,22.07,0.0214,128.05
21.01,101.35,22.01,0.0227,128.89
20.99,101.28,21.93,0.018,130.49
20.99,101.26,22.04,0.0179,131.73
21.01,101.29,22.01,0.0174,132.79
21.0,101.34,22.04,0.0181,133.76
20.99,101.3,22.1,0.0193,135.01
21.01,101.29,21.96,0.0185,137.09
20.99,101.31,22.04,0.0201,138.12
20.99,101.26,22.06,0.0212,138.85
21.02,101.34,22.06,0.0182,140.54
20.99,101.32,22.03,0.021,141.63
20.98,101.34,21.9,0.0213,142.92
20.99,101.26,22.07,0.0207,144.23
20.99,101.31,21.91,0.0185,144.78
21.01,101.28,22.09,0.0199,146.29
21.0,101.34,21.97,0.0209,147.34
21.0,101.25,21.92,0.0222,148.48
21.02,101.33,22.0,0.0173,149.77
21.01,101.32,21.99,0.0185,150.16
20.99,101.34,21.94,0.0187,151.88
20.98,101.27,21.95,0.0196,152.3
20.99,101.34,22.0,0.0188,153.44
20.99,101.31,21.91,0.0183,153.82
21.01,101.35,22.01,0.0178,155.08
21.01,101.33,21.97,0.0194,155.11
21.01,101.25,21.96,0.021,155.96
21.02,101.34,21.91,0.0223,157.37
21.0,101.27,22.01,0.0198,157.59
20.98,101.33,21.95,0.0171,157.81
20.99,101.27,21.99,0.0191,158.35
21.02,101.32,22.05,0.0188,159.03
21.01,101.34,22.1,0.021,158.93
20.99,101.32,22.01,0.0201,159.04
21.0,101.28,22.06,0.0212,159.46
21.0,101.31,22.09,0.0203,159.4
21.01,101.26,21.98,0.0192,159.47
21.0,101.35,22.04,0.0228,159.54
20.99,101.33,22.02,0.0182,159.86
20.99,101.28,21.92,0.0205,159.58
20.99,101.33,22.09,0.0173,159.89
21.0,101.28,22.04,0.0195,159.5
21.01,101.26,22.0,0.0204,159.02
21.0,101.29,22.1,0.0183,158.99
20.99,101.33,22.08,0.0173,158.84
21.0,101.34,22.07,0.0185,158.14
21.0,101.31,21.97,0.0208,157.7
21.0,101.29,21.97,0.0191,157.32
20.99,101.35,21.91,0.0208,155.87
21.02,101.3,22.04,0.0181,155.5
20.99,101.3,21.91,0.0213,155.37
21.0,101.32,21.93,0.0178,154.38
21.0,101.35,22.0,0.0204,153.08
20.98,101.31,22.01,0.0202,152.79
21.0,101.34,21.97,0.0197,151.65
21.02,101.31,22.01,0.0184,150.13
21.0,101.33,22.03,0.0227,149.52
21.01,101.29,22.04,0.0216,148.76
21.0,101.32,22.04,0.0202,147.86
20.99,101.31,22.02,0.0219,146.21
20.99,101.28,22.09,0.0226,145.77
20.99,101.35,22.03,0.022,144.36
21.0,101.32,22.06,0.0171,142.75
21.01,101.33,22.0,0.0183,141.37
21.0,101.34,21.9,0.0174,141.04
20.99,101.34,21.93,0.0197,139.05
21.0,101.27,21.97,0.0193,138.54
20.98,101.3,21.99,0.0206,137.26
21.01,101.28,21.93,0.0199,135.44
21.01,101.31,22.04,0.0226,134.86
21.01,101.26,22.05,0.0182,132.76
20.99,101.25,22.04,0.0183,132.2
21.0,101.33,22.03,0.0188,130.92
21.02,101.33,21.91,0.0194,128.93
21.0,101.3,22.01,0.0219,128.41
21.01,101.27,21.99,0.021,127.48
20.99,101.32,22.06,0.0227,126.25
21.01,101.28,21.97,0.0203,124.99
21.0,101.25,21.92,0.0173,123.07
21.01,101.25,21.94,0.0225,122.25
21.02,101.26,22.08,0.0227,121.8
21.0,101.3,22.03,0.0175,120.14
21.0,101.3,21.95,0.0191,119.47
20.99,101.27,21.94,0.0172,118.87
20.99,101.26,22.07,0.0192,117.08
21.01,101.33,21.98,0.0178,116.42
21.01,101.29,22.05,0.02,116.02
20.99,101.33,21.94,0.0204,115.01
21.01,101.27,22.07,0.0215,113.97
21.0,101.32,21.98,0.0185,114.02
21.0,101.34,22.0,0.0214,112.84
21.01,101.31,22.1,0.0191,112.85
21.0,101.28,22.0,0.0217,111.85
21.0,101.34,22.09,0.0209,111.59
21.0,101.27,21.91,0.0172,111.4
21.01,101.27,22.09,0.0201,110.55
20.99,101.35,21.95,0.0172,110.86
21.01,101.26,22.03,0.0175,110.47
21.02,101.3,22.05,0.0177,109.8
20.98,101.25,21.94,0.0203,110.23
21.0,101.32,22.0,0.023,109.92
20.98,101.34,21.91,0.0179,110.2
20.98,101.32,21.93,0.0228,110.63
20.99,101.34,21.93,0.0222,110.51
21.0,101.25,22.06,0.0177,110.08
21.0,101.34,21.99,0.0217,110.45
21.02,101.33,21.93,0.0176,110.78
20.99,101.28,21.96,0.0184,111.93
21.0,101.32,22.0,0.0182,111.68
21.01,101.33,22.09,0.0205,112.34
21.01,101.29,21.94,0.0229,113.03
20.99,101.3,21.91,0.0204,113.46
21.0,101.33,21.98,0.0207,114.17
21.02,101.34,22.06,0.0225,115.63
21.0,101.31,22.1,0.0225,115.85
21.0,101.31,21.97,0.0216,116.3
20.99,101.32,21.98,0.0174,117.59
21.0,101.27,21.91,0.0175,118.85
20.98,101.28,22.05,0.02,119.96
21.0,101.35,22.05,0.0212,121.03
20.98,101.3,22.05,0.02,121.54
21.01,101.32,22.02,0.0181,122.29
21.01,101.33,22.0,0.0214,124.11
21.0,101.34,21.96,0.0219,124.41
21.0,101.31,21.9,0.0225,125.82
20.98,101.3,21.94,0.0202,127.45
20.98,101.32,22.03,0.0194,128.82
21.01,101.27,22.1,0.0222,129.85
20.98,101.25,22.1,0.0178,130.76
21.0,101.34,21.96,0.0201,132.57
21.01,101.3,22.01,0.0215,132.94
20.99,101.28,22.02,0.0173,134.4
21.01,101.32,21.97,0.0213,135.72
20.99,101.28,22.09,0.021,136.68
21.0,101.27,21.92,0.0173,138.43
21.02,101.35,22.01,0.0209,139.57
21.0,101.31,22.01,0.0188,140.71
20.99,101.27,22.08,0.0214,142.48
20.98,101.31,22.08,0.0199,143.68
21.0,101.27,21.95,0.0207,144.7
21.02,101.27,21.9,0.0223,145.94
21.01,101.27,21.9,0.0197,146.82
20.98,101.29,22.06,0.0201,147.81
21.0,101.28,22.06,0.0213,148.32
20.99,101.31,22.08,0.0195,150.0
21.0,101.34,22.06,0.0186,150.95
21.01,101.33,21.97,0.0227,151.45
20.99,101.29,22.09,0.0221,152.53
20.99,101.3,21.94,0.0207,153.84
21.01,101.33,21.99,0.0175,153.85
21.0,101.27,22.07,0.0177,154.99
21.02,101.34,22.07,0.0217,156.16
21.0,101.26,21.95,0.0196,156.61
20.99,101.34,21.9,0.0172,156.9
20.98,101.31,22.08,0.0172,158.07
21.0,101.33,21.93,0.0202,158.17
21.01,101.3,22.06,0.0171,159.0
20.99,101.3,22.07,0.0173,158.8
21.01,101.29,21.98,0.0175,158.82
21.01,101.31,22.02,0.0208,159.5
21.01,101.27,21.94,0.0215,159.39
21.01,101.3,21.97,0.0227,159.95
20.99,101.26,22.01,0.0226,159.54
21.01,101.29,22.04,0.0174,159.68
21.0,101.32,22.03,0.0198,160.3
20.98,101.28,21.92,0.0219,159.97
20.99,101.33,22.0,0.0178,159.9
21.01,101.26,22.07,0.0212,159.04
21.01,101.3,22.03,0.0196,159.44
21.0,101.32,22.06,0.0193,158.64
21.0,101.31,21.92,0.0193,158.72
21.01,101.31,22.09,0.0229,157.98
20.99,101.3,21.98,0.0195,157.11
20.98,101.34,22.0,0.0215,156.51
21.0,101.31,21.99,0.0182,155.88
20.99,101.35,22.05,0.0185,155.41
21.01,101.31,21.96,0.0224,154.29
21.0,101.3,21.91,0.0204,153.48
21.01,101.32,22.01,0.0186,152.66
20.98,101.33,22.06,0.0191,152.14
21.01,101.27,21.99,0.022,151.63
21.01,101.29,21.99,0.0191,150.07
21.02,101.29,21.95,0.0176,149.37
21.0,101.35,22.06,0.022,148.68
20.98,101.31,21.98,0.021,147.44
20.98,101.27,22.04,0.0198,146.0
21.01,101.33,22.05,0.0179,144.52
21.01,101.29,21.98,0.0181,144.11
21.0,101.3,22.08,0.0218,142.71
20.99,101.3,21.98,0.0185,141.85
21.0,101.33,21.93,0.0217,140.17
21.02,101.27,22.03,0.0224,138.62
21.02,101.31,22.07,0.0223,137.93
20.98,101.34,22.03,0.0203,136.47
20.98,101.31,22.05,0.0217,135.37
21.0,101.34,22.06,0.0209,134.3
20.98,101.29,21.97,0.0211,132.76
21.0,101.34,22.04,0.0175,131.86
20.99,101.34,21.98,0.0212,130.64
21.01,101.34,21.96,0.018,128.65
21.01,101.33,21.92,0.0206,127.42
21.01,101.32,22.0,0.0217,126.16
20.99,101.34,22.04,0.0227,125.39
21.0,101.32,22.08,0.017,124.01
20.99,101.25,22.06,0.0228,123.44
21.0,101.25,21.91,0.0213,121.75
21.0,101.31,22.0,0.0222,120.58
20.98,101.28,22.01,0.0217,119.96
20.99,101.27,22.06,0.0218,118.68
21.0,101.33,21.98,0.0199,117.66
20.99,101.33,22.09,0.023,116.91
20.99,101.33,22.08,0.0187,115.9
20.99,101.31,22.04,0.0196,115.76
21.0,101.3,22.08,0.0199,114.43
20.99,101.33,21.96,0.0217,113.87
20.99,101.33,22.07,0.0178,113.68
20.99,101.27,21.95,0.0222,112.61
20.99,101.27,22.06,0.0197,111.84
21.0,101.29,22.04,0.0202,112.0
21.02,101.26,21.95,0.0229,111.76
21.0,101.32,22.1,0.0185,110.99
21.01,101.32,22.07,0.0201,110.28
21.0,101.35,21.96,0.0203,110.3
20.98,101.27,22.02,0.0205,110.67
21.0,101.26,22.04,0.0184,110.52
21.01,101.33,22.0,0.0181,109.54
20.98,101.33,21.96,0.0183,109.96
21.02,101.3,21.92,0.0174,110.5
21.01,101.31,22.09,0.0214,109.74
20.98,101.29,22.1,0.0218,110.71
21.0,101.3,22.02,0.0193,110.15
21.01,101.27,21.92,0.0228,111.18
21.01,101.27,22.03,0.0179,111.03
21.02,101.26,22.02,0.0181,111.35
20.99,101.35,21.97,0.0208,112.25
21.0,101.27,21.98,0.0178,113.09
20.99,101.28,22.0,0.0198,113.09
20.99,101.32,22.07,0.0205,114.02
21.01,101.31,21.98,0.0211,114.3
21.01,101.3,22.01,0.022,115.24
21.02,101.26,21.95,0.0206,116.26
21.01,101.33,21.95,0.0205,117.26
20.99,101.34,21.93,0.0213,117.79
21.0,101.28,22.07,0.0215,119.33
20.99,101.27,22.01,0.0185,119.7
21.0,101.27,22.02,0.0223,121.3
21.0,101.34,22.01,0.0204,122.19
21.01,101.28,21.99,0.0179,122.76
20.98,101.25,21.98,0.0209,124.46
21.01,101.31,22.09,0.0215,125.18
21.0,101.3,21.9,0.0222,126.44
20.99,101.27,21.96,0.0208,127.31
21.02,101.25,21.92,0.0177,129.25
21.0,101.27,21.95,0.0219,130.39
21.01,101.31,22.0,0.0203,131.03
21.0,101.25,22.1,0.0187,132.98
20.99,101.3,21.99,0.0189,133.67
20.98,101.32,21.99,0.0195,134.59
20.98,101.26,22.08,0.0203,135.98
21.01,101.33,22.02,0.0203,137.4
20.98,101.26,21.92,0.02,138.75
20.98,101.34,22.0,0.0191,139.79
21.0,101.35,21.93,0.0197,141.22
21.0,101.31,21.99,0.0207,142.15
21.0,101.26,21.94,0.0198,143.2
21.0,101.34,22.01,0.0192,144.83
20.99,101.26,22.01,0.0191,145.78
20.99,101.31,22.08,0.0189,147.34
21.0,101.33,22.07,0.0219,147.86
21.01,101.31,21.91,0.019,149.41
20.99,101.3,22.05,0.0212,150.57
21.01,101.34,21.94,0.0193,151.33
21.02,101.35,22.1,0.0193,151.61
20.99,101.3,21.94,0.0201,153.02
21.0,101.26,22.04,0.0215,153.72
20.99,101.26,21.91,0.0187,154.84
21.0,101.25,22.1,0.0198,154.86
20.99,101.3,22.05,0.0205,155.91
20.98,101.27,22.03,0.0189,156.3
21.02,101.29,22.04,0.023,157.34
21.0,101.35,22.08,0.0202,157.91
21.01,101.33,22.08,0.0207,158.44
21.01,101.3,21.93,0.0197,158.58
20.99,101.31,22.04,0.0205,158.93
21.01,101.33,22.1,0.0222,159.86
21.01,101.32,21.94,0.0174,159.93
20.99,101.26,22.05,0.0194,159.67
20.99,101.33,22.04,0.0211,160.26
21.0,101.32,21.93,0.0207,160.37
21.0,101.3,22.0,0.0227,160.48
21.02,101.25,22.01,0.0201,160.29
21.01,101.32,21.94,0.0179,159.51
20.99,101.34,22.03,0.0177,160.09
20.99,101.29,22.0,0.019,159.43
21.01,101.3,22.04,0.0213,158.58
21.0,101.29,21.98,0.0177,158.53
21.01,101.28,21.95,0.0222,157.97
20.98,101.25,22.05,0.019,157.87
21.0,101.26,22.06,0.0222,156.69
21.0,101.28,22.03,0.0191,157.03
20.99,101.34,21.96,0.0193,156.16
21.0,101.27,22.03,0.0224,155.56
20.99,101.33,21.98,0.0211,154.89
